"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression"
500,86.86,197.04,19.87,7.55365e-05,1.27297e-05,9.43555e-05,1.67137e-05,6.65246e-05,1.29019e-05,7.69705e-05,1.40769e-05,0.000200931,4.22673e-05
1000,178.64,299.1,31.25,0.000150907,2.69454e-05,0.000192184,3.36025e-05,0.000133106,2.61254e-05,0.000156049,2.98139e-05,0.000405013,8.2452e-05
1500,285.96,353.07,40.14,0.000238614,4.27848e-05,0.000292581,5.6348e-05,0.000222822,4.47285e-05,0.000241783,4.60622e-05,0.000613825,0.00012764
2000,357.26,441.29,45.29,0.000331972,5.59491e-05,0.000412642,7.31518e-05,0.00032041,5.75323e-05,0.000336629,6.32446e-05,0.000882613,0.000171461
2500,485.8,553.96,55.84,0.000409538,7.62406e-05,0.000505013,9.78154e-05,0.000378722,7.69771e-05,0.000415227,8.44122e-05,0.00104862,0.000218178
3000,638.9,564.43,64.17,0.000477911,0.000100833,0.000595422,0.000126634,0.000429726,0.000105871,0.000491665,0.000109516,0.00127708,0.000284495
3500,647.5,628.83,70.16,0.000551515,9.84305e-05,0.000690079,0.000125479,0.000519248,0.000103749,0.000562475,0.000105391,0.00145884,0.000284311
4000,729.8,728.91,80.24,0.000631612,0.000113021,0.00078884,0.00014543,0.000607756,0.00010552,0.000640422,0.000119622,0.00162826,0.000313922
4500,791.76,821.45,78.07,0.00068567,0.000118613,0.000846357,0.000145731,0.00064501,0.000119207,0.000695699,0.000125957,0.00177716,0.000332543
5000,896.7,791.16,84.26,0.000782695,0.000135776,0.000987354,0.00017079,0.000735659,0.000143069,0.000801301,0.000144321,0.00202333,0.000376531
5500,889.68,920.04,78.77,0.000869241,0.000137972,0.00108463,0.000169927,0.000799699,0.000143183,0.000882693,0.000144592,0.00223958,0.000373135
6000,1027.48,916.74,93.77,0.000947486,0.000162669,0.00120624,0.000206657,0.000910646,0.000163334,0.000963582,0.00016975,0.00245363,0.000436148
6500,1075.48,968.02,94.23,0.001016,0.00016753,0.00128343,0.000205421,0.000996649,0.00017006,0.00106207,0.000180046,0.00264953,0.000456511
7000,1240.88,989.78,105.44,0.00110335,0.000191803,0.00137849,0.000236142,0.00108026,0.000195778,0.00114623,0.000206746,0.00287367,0.000542075
7500,1314.92,1001.34,105.28,0.00120745,0.00020409,0.00152208,0.000265631,0.00118577,0.000211299,0.00125053,0.000221786,0.00313481,0.000564145
8000,1294.06,1146.95,101,0.00128826,0.000195698,0.00160507,0.000249266,0.00124169,0.000219377,0.00133802,0.000219323,0.0033484,0.000566178
8500,1651.12,1085.3,115.22,0.00136138,0.000257907,0.00169748,0.000321113,0.00132038,0.000274013,0.0013999,0.000268155,0.00343011,0.000694781
9000,1391.74,1158.5,101.78,0.001467,0.000219734,0.00182727,0.000274962,0.00136782,0.000229086,0.00149055,0.000238499,0.00366946,0.000589969
9500,2004.4,1071.64,131.03,0.0015067,0.000306882,0.00189244,0.000394912,0.00149686,0.000319276,0.00156527,0.000336553,0.00389338,0.000840839
10000,1748.84,1403.24,124.91,0.00157048,0.000270619,0.00195209,0.000334302,0.00144414,0.000268031,0.00161579,0.000280298,0.00396913,0.00072927
