"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression","Average compression time","Average hld time","Average hld distance calculation time (ms)"
500,95.28,183.91,20.98,7.7069e-05,1.44581e-05,0,0,6.90824e-05,1.40667e-05,7.91214e-05,1.56699e-05,0,0,0.000332584,7.5726e-05,0.0003768
1000,156.2,317.17,28.3,0.000155861,2.41184e-05,0,0,0.000141079,2.2592e-05,0.000165596,2.67391e-05,0,0,0.000614688,0.000149545,0.00050638
1500,285.92,390.5,42.54,0.000243656,4.51281e-05,0,0,0.000223254,4.2045e-05,0.00024849,4.95873e-05,0,0,0.00106393,0.000231493,0.00046727
2000,348.9,489.51,47.32,0.000320267,5.48293e-05,0,0,0.00028696,5.57288e-05,0.000335466,6.23993e-05,0,0,0.00127483,0.000294127,0.00047936
2500,478.94,526.94,55.18,0.000411203,7.55223e-05,0,0,0.000382832,7.98174e-05,0.000424934,7.96245e-05,0,0,0.00175796,0.00037555,0.00051747
3000,625.54,522.6,63.11,0.000483788,9.96912e-05,0,0,0.000463046,0.000101617,0.000498558,0.000105321,0,0,0.00220367,0.000465693,0.00054827
3500,597.8,645.09,67.69,0.000558833,9.2626e-05,0,0,0.000542878,9.60483e-05,0.000594683,0.0001018,0,0,0.00223628,0.000511888,0.00053591
4000,741.88,722,72.69,0.000635245,0.000116971,0,0,0.00062358,0.000110959,0.000659204,0.000122353,0,0,0.00271032,0.000595154,0.00051512
4500,845.42,683.08,80.05,0.000716229,0.000137652,0,0,0.000688021,0.000132163,0.00074528,0.000139941,0,0,0.00308148,0.000662783,0.00056928
5000,971.64,872.49,87.15,0.000792696,0.000152662,0,0,0.000792772,0.000158482,0.000830917,0.000160296,0,0,0.00348812,0.000731619,0.00059712
5500,852.92,945.88,79.35,0.000896948,0.000136239,0,0,0.000831562,0.000136416,0.000924616,0.000150501,0,0,0.00338516,0.000798755,0.00063976
6000,973.78,957.53,82.83,0.000962186,0.000151287,0,0,0.000927615,0.00015843,0.000999829,0.000166048,0,0,0.00380373,0.000873416,0.00061201
6500,1001.06,1056.97,90.59,0.00104154,0.000155945,0,0,0.000986727,0.000165848,0.00110095,0.000170874,0,0,0.00409814,0.000982938,0.00066432
7000,1080.64,1098.01,89.64,0.00114,0.000175634,0,0,0.00107924,0.000176883,0.00115933,0.000183266,0,0,0.00437687,0.00104155,0.00063282
7500,1358.8,1101.36,106.29,0.00118978,0.000211699,0,0,0.00114915,0.00021518,0.00125325,0.000232799,0,0,0.00516882,0.00110675,0.00063394
8000,1437.28,1135.03,107.6,0.00130414,0.000228857,0,0,0.0012729,0.000237039,0.00132799,0.000238999,0,0,0.00544432,0.00117804,0.00069834
8500,1434.28,1130.46,110.72,0.00137825,0.000224279,0,0,0.00133286,0.000242179,0.00142955,0.000240843,0,0,0.00558721,0.00127117,0.00069557
9000,1492.2,1255.61,110.13,0.00144894,0.000242611,0,0,0.00138328,0.000239642,0.00149502,0.000245681,0,0,0.00588231,0.00132082,0.00071294
9500,1826,1152,124.67,0.00147906,0.000274834,0,0,0.00145705,0.00028001,0.00151165,0.000287769,0,0,0.00646379,0.00135279,0.00062585
10000,1988.98,1200.01,126.11,0.00154907,0.000298546,0,0,0.0015207,0.000310455,0.00159478,0.000318255,0,0,0.00679961,0.00138901,0.0005682
