"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression"
100,74.3,9.5,7.88,1.56485e-05,1.19178e-05,2.082e-05,1.5332e-05,1.59426e-05,1.25761e-05,1.59389e-05,1.33641e-05,4.41405e-05,3.50313e-05
200,150.62,11.08,9.42,3.14856e-05,2.25778e-05,4.02181e-05,3.03091e-05,3.08113e-05,2.47028e-05,3.2458e-05,2.54238e-05,8.42984e-05,6.56555e-05
300,224.17,12.21,10.41,4.6844e-05,3.43146e-05,6.3097e-05,4.5456e-05,4.7286e-05,3.77265e-05,4.99107e-05,3.88564e-05,0.000136515,9.83844e-05
400,299.99,12.8,11.01,6.45948e-05,4.62239e-05,8.10223e-05,6.01925e-05,6.58144e-05,4.93156e-05,6.64829e-05,5.18802e-05,0.000185539,0.000131769
500,375.03,13.43,11.5,7.44448e-05,5.44851e-05,9.67341e-05,7.06724e-05,7.37627e-05,5.91292e-05,7.77502e-05,6.08906e-05,0.000212516,0.000152689
600,450.5,13.6,11.77,9.05395e-05,6.87865e-05,0.000118592,8.77486e-05,9.09474e-05,7.01935e-05,9.44987e-05,7.61251e-05,0.000251527,0.000183007
700,523.79,14.27,12.32,0.000115989,8.56958e-05,0.00014878,0.000110147,0.000119853,8.98967e-05,0.000119822,9.05426e-05,0.000324707,0.000226405
800,600.39,14.04,12.31,0.000129126,9.08355e-05,0.000165915,0.000123967,0.000129684,0.000103168,0.000131935,0.000102425,0.000370587,0.000254071
900,673.57,14.43,12.57,0.000152359,0.000109162,0.00019641,0.000146467,0.00015095,0.000118209,0.000155816,0.000124865,0.000430981,0.000299111
1000,747.3,14.8,13.12,0.000163976,0.000119629,0.000212302,0.000156979,0.000165312,0.000124816,0.000165702,0.000131193,0.000458715,0.000316551
1100,823.31,15.44,13.46,0.000187609,0.000141095,0.000244834,0.000185939,0.000188719,0.000146058,0.000186844,0.000147556,0.000507158,0.000355939
1200,897.4,15.38,13.45,0.000193542,0.000145979,0.000254593,0.000181083,0.000205474,0.000161293,0.00019997,0.000156357,0.000561273,0.000382524
1300,973.3,15.64,13.79,0.000205104,0.000152228,0.000275198,0.000199334,0.00021058,0.00016539,0.000218397,0.000171772,0.000590673,0.000410056
1400,1050.01,15.74,14,0.000227491,0.000164352,0.000287879,0.000211634,0.000225943,0.000173384,0.000230831,0.000180697,0.000604411,0.000433323
1500,1124.88,15.71,13.81,0.000231905,0.000171455,0.000300463,0.000218252,0.000237795,0.000180725,0.000236768,0.000185585,0.000641746,0.000446547
1600,1200.06,15.97,14.13,0.000271865,0.000198381,0.000341494,0.000249348,0.000277776,0.000214477,0.000275897,0.000214511,0.000727993,0.00053188
1700,1276.75,16.28,14.41,0.000272737,0.000195884,0.000341465,0.00025292,0.000273644,0.000213413,0.000273088,0.000214953,0.000752372,0.000523762
1800,1347.59,16.4,14.57,0.000290798,0.000207706,0.000368972,0.000269237,0.000294737,0.000226814,0.000296618,0.000232678,0.000775537,0.00056397
