"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression","Average compression time","Average hld time","Average hld distance calculation time"
100,74.81,9.57,7.93,1.55303e-05,1.15004e-05,0,0,1.52519e-05,1.13321e-05,1.583e-05,1.22629e-05,0,0,0.000170582,1.48209e-05,2.7319e-07
200,150.6,11.03,9.32,3.97163e-05,2.90731e-05,0,0,3.93138e-05,3.03762e-05,3.97391e-05,3.1387e-05,0,0,0.000436281,3.39734e-05,4.8055e-07
300,225.61,11.85,9.91,5.5227e-05,4.14905e-05,0,0,5.53831e-05,4.37266e-05,5.70412e-05,4.48159e-05,0,0,0.000589479,6.21963e-05,5.4417e-07
400,300.02,12.92,11.07,5.96585e-05,4.3746e-05,0,0,5.99016e-05,4.65858e-05,6.25884e-05,4.74557e-05,0,0,0.000638833,7.07591e-05,3.4482e-07
500,375.12,13.22,11.29,7.94581e-05,5.89192e-05,0,0,8.15063e-05,6.12392e-05,8.34997e-05,6.25041e-05,0,0,0.00083571,8.9982e-05,4.1338e-07
600,450.67,13.92,12.1,9.01447e-05,6.84578e-05,0,0,9.44579e-05,7.19036e-05,9.68834e-05,7.20354e-05,0,0,0.000944564,0.000102025,3.9135e-07
700,525.29,13.98,12.2,0.000106342,7.90706e-05,0,0,0.000110886,8.34441e-05,0.000111503,8.57267e-05,0,0,0.00115027,0.000120915,4.4551e-07
800,599.17,14.17,12.43,0.000121713,8.93854e-05,0,0,0.000125911,9.36262e-05,0.000123392,9.54917e-05,0,0,0.00127959,0.000138296,4.1181e-07
900,674.07,14.57,13.03,0.000133911,9.71341e-05,0,0,0.000138876,0.000103919,0.000139083,0.00010563,0,0,0.00142275,0.000151862,6.4321e-07
1000,752.6,14.98,12.99,0.000149158,0.000109569,0,0,0.000149497,0.000115478,0.000154655,0.000120936,0,0,0.00154027,0.000165851,4.2186e-07
1100,822.42,15.3,13.44,0.000159457,0.000118093,0,0,0.000166138,0.000126183,0.000167974,0.000127134,0,0,0.0016684,0.000180173,5.0458e-07
1200,897.74,15.26,13.52,0.000174499,0.000128335,0,0,0.000181586,0.000136761,0.000182041,0.000138851,0,0,0.0017886,0.000197087,3.8474e-07
1300,974.62,15.42,13.71,0.0001873,0.000140621,0,0,0.000192467,0.000147676,0.00019803,0.000150365,0,0,0.00194415,0.000212485,4.0044e-07
1400,1050.85,15.67,13.76,0.000208548,0.000154115,0,0,0.000215545,0.000161738,0.000216391,0.000163417,0,0,0.00221792,0.000233243,4.661e-07
1500,1124.96,15.74,13.84,0.000223353,0.000161845,0,0,0.000225998,0.000171821,0.000230496,0.000172955,0,0,0.00235283,0.000241111,4.7076e-07
1600,1198.94,15.92,13.96,0.000233406,0.000172772,0,0,0.000237522,0.000178783,0.00024501,0.000186043,0,0,0.00249569,0.000261636,4.6786e-07
1700,1275.45,16.3,14.32,0.000256304,0.000191626,0,0,0.000266768,0.000199839,0.000268897,0.000205136,0,0,0.00275423,0.000284103,8.7227e-07
1800,1347.45,16.48,14.54,0.000260394,0.000191775,0,0,0.000272968,0.00020564,0.000276775,0.000207938,0,0,0.00279194,0.000291925,4.8454e-07
1900,1425.76,16.13,14.34,0.000277694,0.00020616,0,0,0.000285797,0.000214393,0.000287167,0.00022116,0,0,0.00289949,0.000302635,4.9165e-07
2000,1498.85,16.77,14.82,0.000293004,0.000214935,0,0,0.00030277,0.000229882,0.000305721,0.000231669,0,0,0.00309315,0.000276677,5.9864e-07
2100,1573.43,16.75,14.85,0.000306509,0.000222972,0,0,0.000316998,0.000238423,0.000321821,0.000243628,0,0,0.00322983,0.000340305,4.9927e-07
2200,1651.92,16.81,15.02,0.000328269,0.00023918,0,0,0.000332889,0.000252777,0.000339945,0.000257248,0,0,0.00347786,0.000298503,6.0815e-07
2300,1725.51,17.08,15.14,0.000340058,0.000251674,0,0,0.000357797,0.000267873,0.000357457,0.000268331,0,0,0.0036382,0.000307029,5.2562e-07
2400,1802.73,17.07,15.3,0.000354279,0.000259576,0,0,0.000366438,0.000277396,0.000373769,0.000281717,0,0,0.0037818,0.00031657,4.7899e-07
2500,1874.09,17.5,15.49,0.000367938,0.000266203,0,0,0.000377948,0.000281041,0.000382768,0.000289016,0,0,0.00390089,0.000328565,4.7449e-07
2600,1951.87,17.01,15.18,0.000402133,0.000292323,0,0,0.000414276,0.000313487,0.000421814,0.000314107,0,0,0.00418784,0.000360409,5.4793e-07
2700,2022.12,17.15,15.31,0.000402225,0.000289302,0,0,0.000405635,0.000311187,0.000418212,0.000314818,0,0,0.00419924,0.000365465,5.1398e-07
2800,2101.12,17.35,15.39,0.000407399,0.000299904,0,0,0.000429608,0.000316574,0.000437546,0.000327332,0,0,0.00436403,0.000369229,4.9977e-07
2900,2173.4,17.6,15.68,0.000431553,0.000309498,0,0,0.000440725,0.000331099,0.000457357,0.000339922,0,0,0.00462295,0.000388269,5.3408e-07
3000,2248.47,17.47,15.66,0.00043917,0.000321961,0,0,0.000457817,0.000343311,0.000463561,0.000351371,0,0,0.00471778,0.000398917,5.0801e-07
3100,2321.76,17.69,15.54,0.000463114,0.000336917,0,0,0.0004723,0.000362078,0.000489803,0.000364908,0,0,0.00485825,0.000410845,5.6105e-07
3200,2397.31,17.71,15.89,0.00047223,0.000342543,0,0,0.000486986,0.000363773,0.000494116,0.000369203,0,0,0.00511371,0.000424689,5.1466e-07
3300,2476.5,17.84,16.14,0.000486444,0.000356704,0,0,0.000500429,0.000380792,0.000509476,0.000383509,0,0,0.00521784,0.000433819,5.2072e-07
3400,2551.99,17.84,16.04,0.000503126,0.000365166,0,0,0.000526856,0.000388714,0.000527467,0.000394565,0,0,0.00541748,0.000451945,5.2857e-07
3500,2619.89,18.04,15.97,0.000513345,0.000374609,0,0,0.000538201,0.00040409,0.000544904,0.000408769,0,0,0.00548418,0.000461226,5.231e-07
3600,2698.29,18.02,16.01,0.000547122,0.00039847,0,0,0.000571928,0.000421044,0.00057679,0.000426074,0,0,0.0058003,0.000491058,5.6456e-07
3700,2773.1,18.11,16.24,0.000548431,0.000398078,0,0,0.000571225,0.000427875,0.00057948,0.000433263,0,0,0.00587273,0.000507969,6.6127e-07
3800,2851.08,18,16.23,0.000575701,0.00041943,0,0,0.000597666,0.000446811,0.000601976,0.000446388,0,0,0.00608095,0.000524609,6.8834e-07
3900,2928.34,18.14,16.07,0.000582149,0.00042179,0,0,0.000602737,0.00045091,0.000604821,0.000455758,0,0,0.00612641,0.000522194,5.3139e-07
4000,3004.17,18.22,16.36,0.000590777,0.000435466,0,0,0.000609794,0.000461741,0.00062226,0.000463582,0,0,0.00623149,0.000536043,5.4512e-07
4100,3077.71,18.22,16.23,0.000608458,0.000441323,0,0,0.000635956,0.000469515,0.000646877,0.000483039,0,0,0.00640127,0.000555339,5.6129e-07
4200,3151.61,18.46,16.62,0.000642883,0.000458626,0,0,0.000663226,0.000490685,0.000660484,0.000492163,0,0,0.00664044,0.000576249,5.5978e-07
4300,3222.29,18.43,16.59,0.000637896,0.000464263,0,0,0.000665407,0.000486924,0.000665586,0.000495538,0,0,0.00664461,0.000573089,5.3537e-07
4400,3296.91,18.45,16.46,0.00065264,0.000470729,0,0,0.000670641,0.000500998,0.000685294,0.000507711,0,0,0.00676862,0.000588018,5.3469e-07
4500,3371.11,18.75,16.74,0.000673845,0.000486207,0,0,0.000695621,0.000517189,0.000704765,0.000525298,0,0,0.0069459,0.000608439,5.4519e-07
4600,3452.16,18.66,16.78,0.000682798,0.000494493,0,0,0.000709856,0.000519569,0.000713425,0.000531383,0,0,0.00704002,0.000615026,5.1911e-07
4700,3518.11,18.55,16.6,0.000702546,0.000511507,0,0,0.000731679,0.000541547,0.000743098,0.000548846,0,0,0.00730927,0.000647643,7.3711e-07
4800,3600.09,18.69,16.67,0.000711907,0.000516722,0,0,0.000736613,0.000544286,0.000746752,0.000552305,0,0,0.0073239,0.000637331,5.2233e-07
4900,3674.8,18.87,16.98,0.000727542,0.000525523,0,0,0.000756055,0.000557233,0.000763082,0.000567561,0,0,0.00748039,0.000661232,5.3361e-07
5000,3751.24,18.91,16.88,0.000739716,0.000534609,0,0,0.000771336,0.000565093,0.000776334,0.000580353,0,0,0.00762584,0.000673213,5.2415e-07
5100,3831.83,18.89,16.83,0.000760249,0.00054887,0,0,0.000783928,0.000580315,0.000795943,0.000595437,0,0,0.00778214,0.000686432,5.2844e-07
5200,3900.2,18.91,17,0.000774149,0.000556734,0,0,0.000799548,0.000591303,0.000808139,0.000603886,0,0,0.00789801,0.000700139,5.6179e-07
5300,3973.08,19.12,16.97,0.000788011,0.0005635,0,0,0.000817525,0.000602904,0.000822932,0.000609315,0,0,0.00803134,0.00071162,5.7297e-07
5400,4050.25,19.09,17.1,0.000803387,0.000578231,0,0,0.00084263,0.00061769,0.000846609,0.000630827,0,0,0.00823929,0.000737185,5.9548e-07
5500,4127.52,19.33,17.27,0.000817235,0.000590285,0,0,0.00085246,0.000624378,0.000854586,0.000637411,0,0,0.00855599,0.000749533,5.4794e-07
5600,4199.04,19.23,17.3,0.000839481,0.00060369,0,0,0.000854474,0.000642338,0.0008763,0.000648099,0,0,0.00877868,0.000763247,5.6989e-07
5700,4271.68,19.1,17.08,0.00085133,0.000608092,0,0,0.000883071,0.000651291,0.000887105,0.000658304,0,0,0.00886597,0.00076966,5.7389e-07
5800,4347.38,19.5,17.43,0.000868234,0.000621771,0,0,0.000898061,0.000660776,0.000905582,0.00067338,0,0,0.0090663,0.000789488,5.5079e-07
5900,4420.29,19.25,17.26,0.000880757,0.000633663,0,0,0.000916434,0.000668949,0.000920138,0.000682859,0,0,0.00923249,0.000811645,5.6491e-07
6000,4500.34,19.59,17.62,0.000895115,0.000641335,0,0,0.000926708,0.000683214,0.000935485,0.000689422,0,0,0.00927739,0.000810544,5.3404e-07
6100,4573.66,19.16,17.33,0.000921497,0.000665668,0,0,0.000951669,0.000698968,0.000958336,0.000708504,0,0,0.00951908,0.000844046,5.6188e-07
6200,4647.22,19.39,17.45,0.000926201,0.000665313,0,0,0.000957943,0.000699351,0.000962775,0.00071031,0,0,0.00965116,0.000847533,6.5098e-07
6300,4725.55,19.44,17.57,0.000943583,0.000674913,0,0,0.0009696,0.000708362,0.000982658,0.0007307,0,0,0.00975743,0.000857315,5.6459e-07
6400,4801.26,19.54,17.63,0.000953295,0.000683411,0,0,0.000987019,0.000724945,0.000997263,0.000736185,0,0,0.00986512,0.000863829,5.4038e-07
