"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression","Average compression time","Average hld time","Average hld distance calculation time (ms)"
100,74.85,9.45,7.55,1.64131e-05,1.23019e-05,0,0,1.69315e-05,1.23686e-05,1.72173e-05,1.32325e-05,0,0,0.000178125,1.55379e-05,0.00044027
200,149.5,11.09,9.35,3.81176e-05,2.81794e-05,0,0,4.05218e-05,2.95324e-05,3.86792e-05,3.11204e-05,0,0,0.000433913,3.39846e-05,0.00047045
300,224.99,12.03,10.2,5.29122e-05,3.72662e-05,0,0,5.17204e-05,3.94148e-05,5.19427e-05,3.97118e-05,0,0,0.000529043,5.79568e-05,0.00046899
400,299.77,12.56,10.87,6.04555e-05,4.45122e-05,0,0,6.0382e-05,4.66184e-05,6.28833e-05,4.85154e-05,0,0,0.000642175,6.90349e-05,0.00036802
500,374.97,13.38,11.5,7.93034e-05,5.76499e-05,0,0,7.74825e-05,6.10065e-05,8.21966e-05,6.26726e-05,0,0,0.000807508,8.75858e-05,0.00042777
600,449.99,13.58,11.84,9.46626e-05,6.91433e-05,0,0,9.60361e-05,7.37558e-05,9.78836e-05,7.47384e-05,0,0,0.000971353,0.000106741,0.00043725
700,525.97,14.24,12.5,0.000107685,8.06618e-05,0,0,0.000108691,8.37667e-05,0.000112046,8.6045e-05,0,0,0.00113627,0.000122503,0.00053864
800,599.43,14.34,12.52,0.00012437,9.25378e-05,0,0,0.000127363,9.81901e-05,0.000135446,0.000101658,0,0,0.00136495,0.000147963,0.00048283
900,674.73,14.61,12.63,0.000136589,0.000100555,0,0,0.000138832,0.000106732,0.000141014,0.000109553,0,0,0.00144095,0.000155142,0.00043477
1000,747.92,14.74,12.94,0.000156812,0.000116395,0,0,0.000160483,0.000124343,0.000165577,0.000125867,0,0,0.00164419,0.000177613,0.00047764
1100,825.6,15.21,13.14,0.000168249,0.000122574,0,0,0.000171183,0.00012957,0.000174657,0.000132749,0,0,0.00174153,0.000189035,0.00045784
1200,899.91,15.69,13.73,0.000182027,0.000133156,0,0,0.00018304,0.000142365,0.000187937,0.00014184,0,0,0.00184409,0.000202282,0.00044011
1300,975.21,15.52,13.51,0.000191991,0.000142526,0,0,0.00019595,0.000151585,0.000202201,0.000153689,0,0,0.00195278,0.000218517,0.00041797
1400,1048.83,16.11,14.15,0.000210433,0.000157261,0,0,0.000214512,0.000162895,0.000223084,0.000167828,0,0,0.00221856,0.000222212,0.00046298
1500,1123.08,15.96,13.92,0.000225375,0.00016304,0,0,0.000227935,0.000173193,0.000233753,0.000177467,0,0,0.00235918,0.000249075,0.00041812
1600,1200.54,16,14.19,0.000243026,0.000178964,0,0,0.000251251,0.000187386,0.000251208,0.000190975,0,0,0.00254519,0.000271941,0.00053428
1700,1273.96,16.29,14.3,0.000254827,0.000185501,0,0,0.000257903,0.000197589,0.000265628,0.000200148,0,0,0.00267234,0.000265631,0.00048004
1800,1351.12,16.27,14.45,0.000278913,0.000202513,0,0,0.000279517,0.000208131,0.000283531,0.000218206,0,0,0.00287966,0.000284105,0.00050605
1900,1422.87,16.67,14.7,0.00028206,0.000204992,0,0,0.000289692,0.000218633,0.000295342,0.000224287,0,0,0.00296843,0.000276263,0.00049247
2000,1501.33,16.47,14.57,0.000297983,0.000215014,0,0,0.000307409,0.000229836,0.000311927,0.000238609,0,0,0.00312879,0.000280203,0.00049132
2100,1573.24,16.88,15.07,0.000313839,0.000230446,0,0,0.000325005,0.000245395,0.000335293,0.00025325,0,0,0.00330693,0.00035041,0.00061149
2200,1653.11,16.89,15,0.000349693,0.000262635,0,0,0.000364946,0.000274275,0.000376036,0.000283588,0,0,0.00377088,0.000328251,0.00083914
2300,1723.56,17.18,15.23,0.000365638,0.000260763,0,0,0.000366872,0.00028332,0.000379271,0.000288462,0,0,0.00385388,0.000322381,0.00058852
2400,1802.35,16.98,15.13,0.000373049,0.000268184,0,0,0.000374324,0.000287539,0.000387855,0.000291661,0,0,0.00390505,0.000334106,0.00066878
2500,1874.64,17.18,15.28,0.00039243,0.000291408,0,0,0.000406226,0.000310409,0.000426369,0.000317854,0,0,0.00417808,0.000355657,0.00062069
2600,1953.39,17.23,15.14,0.000428224,0.000314491,0,0,0.000440494,0.000340313,0.000445523,0.000334298,0,0,0.00447573,0.000409574,0.00075916
2700,2022.13,17.38,15.35,0.000441676,0.000325567,0,0,0.000444923,0.000331814,0.000464732,0.000339636,0,0,0.00455755,0.000402767,0.00064184
2800,2094.85,17.36,15.51,0.000443995,0.000321323,0,0,0.000457216,0.000343476,0.000472813,0.000354592,0,0,0.00473452,0.000401084,0.00063474
2900,2173.95,17.41,15.37,0.000452723,0.000334849,0,0,0.000466769,0.000355455,0.000472838,0.000362478,0,0,0.00483426,0.000418648,0.00071504
3000,2249.04,17.86,15.79,0.000465783,0.000331366,0,0,0.000469929,0.000356716,0.000483486,0.000362819,0,0,0.00492255,0.000422096,0.0008487
3100,2326.45,17.95,15.95,0.000490241,0.000347123,0,0,0.000494443,0.000367491,0.000510903,0.000377766,0,0,0.00509441,0.000434488,0.00077606
3200,2400.88,17.96,15.96,0.000492054,0.000353323,0,0,0.000502174,0.000373797,0.00051216,0.000387904,0,0,0.00525863,0.00044277,0.00055705
3300,2476.48,17.83,15.84,0.000529171,0.000396073,0,0,0.000555978,0.000422264,0.000563462,0.000424126,0,0,0.00569058,0.000495174,0.00072875
3400,2549.42,17.91,16.14,0.000526607,0.000376199,0,0,0.000539103,0.000411368,0.00055028,0.000413579,0,0,0.00558473,0.000483563,0.00072216
3500,2626.84,17.91,16.12,0.000548516,0.000394928,0,0,0.000566944,0.000422835,0.000584685,0.000434153,0,0,0.00574909,0.000490592,0.00071927
3600,2700.55,17.9,16.19,0.000562757,0.000408114,0,0,0.000583742,0.000435797,0.000596927,0.000446756,0,0,0.00594428,0.000517393,0.00073363
3700,2775.09,18.01,16.07,0.000595694,0.000427857,0,0,0.000606867,0.000453123,0.000619327,0.00046713,0,0,0.00616757,0.000545723,0.0006241
3800,2853.99,18.12,16.16,0.000576185,0.00041261,0,0,0.00058054,0.000439144,0.000603706,0.000448749,0,0,0.00596694,0.000511529,0.00057256
3900,2926.08,18.55,16.62,0.000594035,0.000427772,0,0,0.000605626,0.000451026,0.000619314,0.000459905,0,0,0.00616052,0.000525951,0.00054169
4000,2998.72,18.25,16.34,0.000603662,0.000433398,0,0,0.000621856,0.00045343,0.000631029,0.000474784,0,0,0.00629321,0.000548069,0.00055659
4100,3070.27,18.45,16.59,0.000618712,0.000446448,0,0,0.000632029,0.00047399,0.000658616,0.000486275,0,0,0.00645361,0.00056386,0.00056835
