"Node count","Average node count after compression","Average height of a tree","Average height after compression"
100,8.83,70.89,4.43
200,9.69,147.17,4.84
300,11.96,210.88,5.64
400,12.65,276.89,5.84
500,11.9,372.01,5.57
600,13.48,419.11,6.14
700,12.91,516.12,6.05
800,13.84,551.39,6.31
900,14.59,628.34,6.45
1000,13.72,711.96,6.27
1100,13.96,790.16,6.35
1200,13.5,845.82,6.17
1300,14.26,924.34,6.43
1400,14.36,981.27,6.65
1500,15.85,1015.92,6.99
1600,15.49,1153.34,6.91
1700,15.26,1246.03,6.8
1800,14.92,1344.35,6.86
1900,14.69,1385.92,6.66
2000,15.23,1404.47,6.71
2100,15.63,1485.16,6.91
2200,15.22,1645.15,6.95
2300,14.81,1646.43,6.73
2400,15.72,1754.18,7.28
2500,16.41,1811.37,7.25
2600,15.19,1828.54,6.73
2700,15.44,1884.82,7.01
2800,15.8,2058.4,7.17
2900,16.12,2056.45,7.02
3000,16.33,2153.36,7.23
3100,16.48,2171.61,7.17
3200,15.52,2370.57,7.03
3300,15.82,2474.3,7.13
3400,15.28,2485.18,6.84
3500,16.52,2422.76,7.23
3600,17.01,2452.99,7.31
3700,15.01,2730.18,6.93
3800,16.42,2693.03,7.31
3900,16.56,2761.05,7.15
4000,17.13,2870.48,7.68
4100,16.58,2879.82,7.25
4200,16.88,3049.86,7.39
4300,17.6,3029.18,7.83
4400,17.05,3133.1,7.51
4500,16.32,3376.03,7.36
4600,16.48,3324.23,7.31
4700,16.97,3306.81,7.3
4800,16.97,3508.03,7.6
4900,16.99,3565.41,7.48
5000,17.67,3530.49,7.61
5100,16.71,3642.89,7.53
5200,17.44,3806.81,7.79
5300,17.94,3866.08,7.96
5400,17.38,3866.49,7.63
5500,17.51,4048.22,7.65
5600,17.97,3931.49,8.03
5700,18.26,4110.48,7.79
5800,17.74,4091.04,7.72
5900,18.09,3983.89,7.72
6000,17.3,4197.22,7.63
6100,18.57,4361.07,8.13
6200,17.78,4471.76,7.8
6300,18.61,4296.07,7.9
6400,16.2,4761.01,7.44
6500,18.12,4471.39,7.96
6600,17.02,4951.92,7.69
6700,18.4,4653.32,7.68
6800,16.76,4879.03,7.35
6900,18.42,4851.94,7.92
7000,18.1,4942.67,7.64
7100,17.32,4996.67,7.5
7200,17.14,5239.82,7.54
7300,17.5,5172.13,7.65
7400,17.78,5362.14,7.71
7500,18.8,5324.62,8.2
7600,18.4,5535.4,8
7700,17.76,5601.5,7.68
7800,18.59,5444.3,8.05
7900,18.25,5441.61,7.83
8000,17.83,5611.77,7.67
8100,18.29,5842.53,7.92
8200,18.88,5778.3,7.92
8300,18.08,5990.79,7.92
8400,18.38,6001.99,7.89
8500,18.12,6112.89,7.93
8600,17.48,6049.19,7.73
8700,18.4,6126.86,7.94
8800,18.1,6276.64,7.96
8900,17.78,6502.11,7.9
9000,18.06,6465.53,7.79
9100,19.38,6416.88,8.29
9200,18.62,6438.33,8
9300,18.06,6803.3,7.81
9400,17.6,6890.35,7.57
9500,17.7,6835.02,7.8
9600,19.44,6820.33,8.47
9700,17.91,6963.74,7.72
9800,18.14,7390.08,8.06
9900,18.36,7013.05,7.98
10000,19.34,6868.91,8.2
