"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression"
100,9.32001,70.87,4.6,1.61319e-05,1.7769e-06,2.09617e-05,2.22671e-06,1.27057e-05,1.45115e-06,1.67654e-05,1.68706e-06,4.29554e-05,9.17531e-06
200,10.09,147.75,4.92,3.20351e-05,1.90642e-06,4.03953e-05,2.52101e-06,2.33235e-05,1.50234e-06,3.17455e-05,2.02025e-06,8.50061e-05,1.06212e-05
300,11.48,214.42,5.36,4.71295e-05,2.0757e-06,6.12846e-05,3.10274e-06,3.64199e-05,1.72663e-06,4.83833e-05,2.36255e-06,0.000124874,1.29357e-05
400,11.91,277.99,5.56,6.29086e-05,2.07549e-06,7.8725e-05,2.92988e-06,4.77354e-05,1.61769e-06,6.36575e-05,2.26706e-06,0.000165931,1.43253e-05
500,11.81,372.31,5.66,8.41927e-05,2.40418e-06,0.000109309,3.21716e-06,6.76635e-05,2.10926e-06,8.81181e-05,2.7574e-06,0.000230989,1.81621e-05
600,13.07,434.68,6,9.35009e-05,2.24497e-06,0.000117173,3.09582e-06,6.95788e-05,1.87789e-06,9.63514e-05,2.59222e-06,0.000242458,1.80944e-05
700,12.95,508.6,5.99,0.000109359,2.28169e-06,0.000135939,3.20479e-06,8.17265e-05,2.03923e-06,0.000111165,2.70329e-06,0.000283365,1.90059e-05
800,13.95,567.64,6.31,0.000126089,2.53557e-06,0.000156066,3.36365e-06,9.27458e-05,2.06716e-06,0.000127816,2.52051e-06,0.000323388,2.18633e-05
900,13.61,661.99,6.25,0.000143222,2.42958e-06,0.000177821,3.17373e-06,0.000103711,1.90834e-06,0.00014586,2.81241e-06,0.000361361,2.28563e-05
1000,13.64,700.65,6.22,0.000166338,2.40684e-06,0.000207897,3.66967e-06,0.000124804,2.26791e-06,0.000169079,2.73205e-06,0.000436039,2.51483e-05
1100,13.84,802.65,6.5,0.000185242,2.64508e-06,0.000225661,3.48081e-06,0.000135519,1.95617e-06,0.000178079,3.05414e-06,0.000475365,2.72354e-05
1200,14.31,837.27,6.4,0.000191806,2.98213e-06,0.000245102,3.53976e-06,0.0001466,2.13962e-06,0.000194769,3.03529e-06,0.000503705,2.6821e-05
1300,15.04,929,6.75,0.000199981,2.75779e-06,0.000254604,3.88269e-06,0.000154813,2.16236e-06,0.00020501,2.84019e-06,0.00051733,2.76058e-05
1400,14.89,1017.48,6.71,0.000210993,2.43894e-06,0.000260846,3.27146e-06,0.000157587,2.07786e-06,0.000217517,2.77904e-06,0.000554107,2.93948e-05
1500,15.4,1063.32,6.92,0.000228969,2.6989e-06,0.000289131,3.37512e-06,0.000171598,1.89507e-06,0.00022367,2.88268e-06,0.000595433,2.95565e-05
1600,14.56,1154.28,6.39,0.000243341,2.49613e-06,0.000300426,3.50089e-06,0.000186832,1.94026e-06,0.000246934,2.58869e-06,0.000635991,3.25969e-05
1700,15.92,1197.76,7.14,0.000251072,2.56712e-06,0.000314467,3.63265e-06,0.00019568,2.14371e-06,0.000252736,2.81281e-06,0.000652681,3.36618e-05
1800,14.75,1313.02,6.65,0.000275212,2.62923e-06,0.000340549,3.53318e-06,0.000207927,2.00306e-06,0.000273446,2.65063e-06,0.000712561,3.29956e-05
1900,15.1,1409.87,6.81,0.000290557,2.51677e-06,0.000370628,3.4856e-06,0.000234573,2.01584e-06,0.000302253,3.04173e-06,0.000764207,3.59734e-05
2000,14.85,1422.41,6.75,0.000302042,2.72959e-06,0.000386111,3.28787e-06,0.000217124,2.14483e-06,0.000306327,2.73319e-06,0.000787011,3.68989e-05
2100,14.4,1554.83,6.52,0.000320473,2.56519e-06,0.000395317,3.15775e-06,0.000236617,2.04935e-06,0.000322282,2.79416e-06,0.000818218,3.80628e-05
2200,15.52,1578.53,6.88,0.000341038,2.59836e-06,0.000421772,3.86037e-06,0.000253907,2.3412e-06,0.000343559,3.00344e-06,0.000886057,4.18284e-05
2300,14.94,1625.89,6.66,0.000355843,2.62777e-06,0.000446427,3.48031e-06,0.000273022,2.4085e-06,0.000361345,2.92852e-06,0.000930076,3.98238e-05
2400,14.95,1804.13,6.69,0.000362603,2.44812e-06,0.000453689,3.60846e-06,0.000273201,2.09734e-06,0.00036957,2.89061e-06,0.000939176,4.3769e-05
2500,14.53,1804.5,6.54,0.000377314,2.66161e-06,0.000465661,3.53228e-06,0.000290272,2.15536e-06,0.000385028,2.86373e-06,0.000979047,4.26423e-05
2600,15.18,1905.12,6.98,0.000404038,2.60219e-06,0.000496967,3.67627e-06,0.000298103,2.35473e-06,0.000404711,2.74166e-06,0.00103744,4.52029e-05
2700,16.3,1851.73,6.97,0.000407708,2.67615e-06,0.000508704,3.59089e-06,0.000287989,2.15491e-06,0.000413536,3.02786e-06,0.00106798,4.31698e-05
2800,16.15,2039.44,7.23,0.000426838,2.74583e-06,0.000538233,3.82425e-06,0.000328719,2.31606e-06,0.000425865,3.20802e-06,0.00111732,4.89009e-05
2900,16.81,2003.99,7.22,0.000442597,2.73918e-06,0.00054025,3.68491e-06,0.000348254,2.44721e-06,0.00044168,2.93385e-06,0.00112271,4.60182e-05
3000,16.24,2173.55,7.25,0.000442795,2.64143e-06,0.00054853,3.6703e-06,0.000326218,2.17723e-06,0.000450017,2.90348e-06,0.00115121,5.06714e-05
3100,16.1,2192.95,7.05,0.000464313,2.74974e-06,0.000578023,3.78194e-06,0.000347294,2.35798e-06,0.0004764,2.87152e-06,0.00122515,4.99684e-05
3200,16.66,2247.58,7.43,0.000480172,2.90202e-06,0.000600345,3.65991e-06,0.000398018,2.32647e-06,0.000488427,3.03203e-06,0.00123924,5.18168e-05
3300,16.77,2276.82,7.4,0.000498488,2.80814e-06,0.000630432,3.59544e-06,0.000361642,2.57653e-06,0.000505778,3.0574e-06,0.00128058,5.14878e-05
3400,16.87,2472.14,7.45,0.000516241,2.85417e-06,0.000636628,3.71046e-06,0.00037313,2.56203e-06,0.000522772,3.19606e-06,0.00132245,5.56561e-05
3500,17.06,2485.36,7.39,0.000512705,2.873e-06,0.000645131,3.75884e-06,0.000406323,2.36571e-06,0.000533713,3.12316e-06,0.00134333,5.37896e-05
3600,16.41,2659.48,7.46,0.0005315,2.76603e-06,0.000667582,3.53572e-06,0.000428428,2.32118e-06,0.000567358,2.88292e-06,0.00137629,5.86432e-05
3700,17.33,2641.19,7.66,0.00055487,3.01586e-06,0.000686657,3.75233e-06,0.000385791,2.53844e-06,0.00056277,3.05851e-06,0.00142904,5.8771e-05
3800,15.52,2701.68,6.92,0.000567459,2.54612e-06,0.000697627,3.5865e-06,0.000422332,2.1681e-06,0.000572056,3.06455e-06,0.00146524,5.84158e-05
3900,16.82,2801.66,7.45,0.000589844,2.88192e-06,0.000733689,3.92101e-06,0.000444873,2.83431e-06,0.00060413,3.51895e-06,0.00155257,6.05118e-05
4000,16.6,2834.2,7.33,0.000598639,2.69223e-06,0.000746895,3.69752e-06,0.000462168,2.45466e-06,0.000610928,2.95723e-06,0.00158027,6.37744e-05
4100,17.74,2778.78,7.55,0.000619376,3.04415e-06,0.00075591,3.97332e-06,0.000459391,2.69354e-06,0.000616843,3.15524e-06,0.00158458,6.22078e-05
