"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression","Average compression time","Average hld time","Average hld distance calculation time"
100,9.01,70.2,4.52,1.489e-05,1.43962e-06,0,0,1.18155e-05,1.2814e-06,1.52427e-05,1.55969e-06,0,0,4.99167e-05,1.39345e-05,1.8536e-07
200,10.69,136.25,5.2,3.1779e-05,1.91563e-06,0,0,2.46784e-05,1.59165e-06,3.20116e-05,2.33985e-06,0,0,8.6808e-05,2.8542e-05,2.3335e-07
300,12.04,206.47,5.77,5.30404e-05,2.26082e-06,0,0,4.09134e-05,2.00961e-06,5.33549e-05,2.5427e-06,0,0,0.000130377,4.74786e-05,2.9564e-07
400,12.25,285.28,5.74,6.14794e-05,2.00438e-06,0,0,4.58256e-05,1.80794e-06,6.17805e-05,2.20148e-06,0,0,0.000147067,5.56818e-05,2.3786e-07
500,12.65,350.29,5.8,7.85186e-05,2.14565e-06,0,0,6.30971e-05,1.78854e-06,7.88613e-05,2.29885e-06,0,0,0.000179157,6.95581e-05,3.3234e-07
600,12.53,417.22,5.83,0.000107981,2.47954e-06,0,0,8.21034e-05,2.56033e-06,0.000107101,2.96002e-06,0,0,0.000233857,9.09769e-05,3.401e-07
700,13.66,494.56,6.26,0.000105432,2.30718e-06,0,0,7.95402e-05,1.86272e-06,0.000106329,2.6646e-06,0,0,0.000227465,9.43179e-05,2.511e-07
800,13.62,559.63,6.22,0.000126742,2.4055e-06,0,0,8.97659e-05,2.00118e-06,0.000127088,2.5771e-06,0,0,0.000255387,0.000111297,2.7191e-07
900,13.76,620.95,6.19,0.000136677,2.39526e-06,0,0,0.000104658,1.83061e-06,0.000136841,2.40899e-06,0,0,0.000284274,0.000119879,2.4018e-07
1000,13.79,699.23,6.27,0.00016106,2.79303e-06,0,0,0.000122036,2.17062e-06,0.000165673,3.32948e-06,0,0,0.000325542,0.000143648,3.0853e-07
1100,13.87,781.41,6.33,0.00017304,2.38596e-06,0,0,0.000122719,1.99218e-06,0.000171523,2.70974e-06,0,0,0.00034357,0.000152162,2.6251e-07
1200,14.39,870.42,6.41,0.000180615,2.31288e-06,0,0,0.000131826,1.98983e-06,0.000182032,2.66495e-06,0,0,0.000365505,0.000158176,2.5336e-07
1300,13.78,963.14,6.35,0.000198995,2.24626e-06,0,0,0.000150783,1.84132e-06,0.00020149,2.52024e-06,0,0,0.000395118,0.000174164,2.619e-07
1400,14.89,1008.8,6.7,0.000224001,2.57309e-06,0,0,0.000171882,2.20092e-06,0.000229461,3.02168e-06,0,0,0.000434038,0.000190568,2.8933e-07
1500,14.83,1072.64,6.7,0.000231699,2.6804e-06,0,0,0.000172231,2.38026e-06,0.000242789,2.89679e-06,0,0,0.000464668,0.000208287,4.1031e-07
1600,14.97,1161.25,6.75,0.000239011,2.38721e-06,0,0,0.000182296,2.24614e-06,0.000248271,3.85416e-06,0,0,0.000482746,0.000218279,2.6367e-07
1700,14.62,1199.62,6.54,0.000253108,2.48403e-06,0,0,0.000195674,2.05273e-06,0.000260336,2.70566e-06,0,0,0.00049423,0.000224368,2.7693e-07
1800,14.13,1359.49,6.35,0.000269315,2.36499e-06,0,0,0.000188529,1.96213e-06,0.000274199,2.68007e-06,0,0,0.000519646,0.000237968,3.2584e-07
1900,15.39,1357.11,6.86,0.000283061,2.66175e-06,0,0,0.000212142,2.09098e-06,0.000287824,2.68691e-06,0,0,0.000539238,0.000245692,2.5582e-07
2000,15.69,1439.91,7.1,0.000305966,2.67558e-06,0,0,0.000226891,2.49744e-06,0.000307712,2.81952e-06,0,0,0.000593568,0.000264401,2.5324e-07
2100,15.02,1501.15,6.59,0.000316409,2.45724e-06,0,0,0.000242138,2.08686e-06,0.000317198,2.74822e-06,0,0,0.000592027,0.000275731,2.8375e-07
2200,15.2,1529.51,6.81,0.000321609,2.44313e-06,0,0,0.000255211,2.18061e-06,0.000327848,2.69564e-06,0,0,0.000625297,0.000282328,2.7943e-07
2300,15.94,1632.71,7.19,0.000346139,2.66556e-06,0,0,0.000274849,2.20249e-06,0.000351464,2.9495e-06,0,0,0.000643663,0.000299282,2.8955e-07
2400,16.68,1717.98,7.53,0.000359134,2.66992e-06,0,0,0.000273637,2.1275e-06,0.000362182,3.14286e-06,0,0,0.000682442,0.000307656,2.9561e-07
2500,15.58,1770.21,6.97,0.000366257,2.50051e-06,0,0,0.000281467,2.03066e-06,0.000371723,2.81117e-06,0,0,0.00069368,0.00032088,2.9399e-07
2600,15.51,1872.48,6.86,0.000383574,2.50098e-06,0,0,0.000284304,2.14247e-06,0.000388641,2.72675e-06,0,0,0.00072538,0.000333969,2.8996e-07
2700,15.72,1892.45,7.12,0.000393175,2.47592e-06,0,0,0.000304587,2.15776e-06,0.000398139,2.86778e-06,0,0,0.000746178,0.000347868,2.9316e-07
2800,15.14,2048.7,6.85,0.000413536,2.40886e-06,0,0,0.000302698,2.12052e-06,0.000421927,2.70736e-06,0,0,0.000775235,0.000361222,2.9191e-07
2900,15.24,2104.82,6.93,0.0004274,2.42324e-06,0,0,0.000315306,2.33153e-06,0.000436903,2.85144e-06,0,0,0.000800279,0.000373357,2.9955e-07
3000,16.63,2090.27,7.28,0.000468042,2.86253e-06,0,0,0.000361169,2.73335e-06,0.000473793,3.59056e-06,0,0,0.000885409,0.000405708,3.2614e-07
3100,15.55,2173.51,6.84,0.000467435,2.60155e-06,0,0,0.000354878,2.22059e-06,0.000471224,2.80397e-06,0,0,0.000874669,0.000409774,3.084e-07
3200,15.49,2313.9,7.02,0.000473253,2.58437e-06,0,0,0.000361612,2.21563e-06,0.000478546,2.75926e-06,0,0,0.000881218,0.000410135,3.0169e-07
3300,16.3,2343.89,7.18,0.000483603,2.58077e-06,0,0,0.000370005,2.1049e-06,0.000489829,2.82707e-06,0,0,0.000900476,0.000419662,2.6473e-07
3400,16.72,2402.44,7.34,0.000496595,2.63044e-06,0,0,0.000367745,2.31279e-06,0.000506003,3.11444e-06,0,0,0.000921745,0.000429416,2.6312e-07
3500,15.93,2504.38,7.08,0.000507672,2.52741e-06,0,0,0.00037779,2.07531e-06,0.000520144,2.79477e-06,0,0,0.000952786,0.000442355,2.7609e-07
3600,16.87,2551.02,7.38,0.00052642,2.75099e-06,0,0,0.00038154,2.18289e-06,0.000543793,2.96255e-06,0,0,0.000986076,0.000463918,2.5065e-07
3700,16.31,2669.61,7.26,0.000557171,2.60221e-06,0,0,0.000389917,2.60636e-06,0.000565646,2.9991e-06,0,0,0.00104226,0.000477541,2.835e-07
3800,16.68,2657.51,7.32,0.000569609,2.77242e-06,0,0,0.000435714,2.22384e-06,0.000570182,2.93635e-06,0,0,0.00104551,0.000495964,2.8163e-07
3900,16.42,2916.02,7.32,0.00057539,2.78457e-06,0,0,0.000427155,2.35043e-06,0.000592425,2.83791e-06,0,0,0.00106848,0.000496841,2.3639e-07
4000,16.17,2829.9,7.07,0.000588132,2.59544e-06,0,0,0.00041954,2.22735e-06,0.000594082,2.80766e-06,0,0,0.00107539,0.000506937,2.5462e-07
4100,17.76,2819.05,7.73,0.0005995,2.81421e-06,0,0,0.000455746,2.63041e-06,0.000618859,3.08055e-06,0,0,0.00110855,0.000520342,2.6308e-07
4200,16.55,2973.76,7.33,0.000615181,2.7518e-06,0,0,0.000463955,2.3302e-06,0.000627745,2.91455e-06,0,0,0.00114506,0.000539697,2.5034e-07
4300,16.22,3055.8,7.21,0.000633488,2.61115e-06,0,0,0.000510467,2.33204e-06,0.000643545,2.84447e-06,0,0,0.00115412,0.000545398,2.4368e-07
4400,16.96,3117.24,7.44,0.000640748,2.68746e-06,0,0,0.000461509,2.33502e-06,0.000652804,2.93664e-06,0,0,0.00118611,0.000557743,2.4726e-07
4500,17.49,3141.88,7.63,0.00065675,2.7912e-06,0,0,0.000474706,2.21431e-06,0.000666792,3.04213e-06,0,0,0.00120307,0.000568136,2.7691e-07
4600,17.62,3286.97,7.73,0.000674284,2.91513e-06,0,0,0.000521891,2.42792e-06,0.00067784,3.09767e-06,0,0,0.00124736,0.00058837,2.9854e-07
4700,17.14,3294.15,7.52,0.000692903,2.91568e-06,0,0,0.000534119,2.46686e-06,0.000708331,3.18379e-06,0,0,0.00127285,0.000609475,3.0948e-07
4800,17.68,3519.15,7.93,0.000721966,2.98729e-06,0,0,0.000570942,2.76784e-06,0.00073815,3.21547e-06,0,0,0.00132583,0.000629693,4.0058e-07
4900,17.01,3479.87,7.39,0.000712524,2.68128e-06,0,0,0.000529434,2.30695e-06,0.000721305,2.93304e-06,0,0,0.00130091,0.000622519,2.5333e-07
5000,17.29,3597.83,7.6,0.000728106,2.74682e-06,0,0,0.00054996,2.39506e-06,0.000735102,2.97753e-06,0,0,0.00133189,0.000627262,2.4117e-07
5100,16.84,3535.79,7.44,0.000740088,2.76464e-06,0,0,0.000587965,2.12666e-06,0.000756519,2.95309e-06,0,0,0.00136955,0.000643528,2.6424e-07
5200,16.83,3768.03,7.44,0.00076207,2.68896e-06,0,0,0.00054102,2.31389e-06,0.00076963,2.9508e-06,0,0,0.00139744,0.000660747,2.6934e-07
5300,17.8,3756.64,7.85,0.000772296,2.78765e-06,0,0,0.000591299,2.36451e-06,0.000784544,3.2114e-06,0,0,0.00142227,0.000672572,2.3781e-07
5400,17.22,3807.98,7.42,0.000783991,2.70352e-06,0,0,0.000610499,2.63623e-06,0.000801758,2.95053e-06,0,0,0.00144857,0.000682428,2.4006e-07
5500,17.8,3927.43,7.69,0.000802526,2.79715e-06,0,0,0.000569388,2.28091e-06,0.000821525,3.3212e-06,0,0,0.00147911,0.000699273,2.666e-07
5600,16.81,4060.54,7.43,0.000811287,2.69605e-06,0,0,0.000624804,2.39515e-06,0.00083259,2.99045e-06,0,0,0.00149922,0.000706683,2.4817e-07
5700,16.38,4206.77,7.39,0.000833502,2.79048e-06,0,0,0.000633052,2.09549e-06,0.000847376,2.85449e-06,0,0,0.00152648,0.000718924,2.62e-07
5800,17.22,4093.31,7.56,0.000846062,2.89812e-06,0,0,0.000667209,2.16613e-06,0.000860912,2.96322e-06,0,0,0.00154907,0.000733072,2.4112e-07
5900,16.78,4271.12,7.31,0.000852917,2.66087e-06,0,0,0.000625629,2.39173e-06,0.000867716,3.02373e-06,0,0,0.00156035,0.000741536,2.6257e-07
6000,18.3,4279.16,7.91,0.000865977,2.87327e-06,0,0,0.000649004,2.4612e-06,0.000880577,3.17309e-06,0,0,0.00158639,0.000752588,2.7948e-07
6100,16.59,4666.14,7.33,0.000880491,2.64081e-06,0,0,0.000627959,2.31467e-06,0.000895654,2.89982e-06,0,0,0.00160264,0.00076418,2.5627e-07
6200,17.14,4335.5,7.43,0.000905468,2.75105e-06,0,0,0.000717565,2.42774e-06,0.000921171,3.01233e-06,0,0,0.00166539,0.000793683,2.7238e-07
6300,17.7,4590.51,7.91,0.000908339,2.90408e-06,0,0,0.000690885,2.46156e-06,0.00092784,3.02205e-06,0,0,0.00166554,0.000793266,2.4191e-07
6400,16.98,4716.02,7.64,0.000919565,2.66468e-06,0,0,0.00065122,2.22757e-06,0.000937687,2.90826e-06,0,0,0.00168518,0.000801483,2.2109e-07
6500,17.9,4617.63,7.75,0.000934195,2.82123e-06,0,0,0.000698243,2.42592e-06,0.000955017,3.03439e-06,0,0,0.00171337,0.000814026,2.2076e-07
6600,17.71,4765.91,7.77,0.00095519,2.87343e-06,0,0,0.000758478,2.27079e-06,0.00096976,3.05264e-06,0,0,0.00173927,0.000832131,2.4597e-07
6700,18.19,4732.82,7.94,0.000973353,2.83312e-06,0,0,0.000720588,2.54165e-06,0.000986435,3.09636e-06,0,0,0.00177145,0.000844722,2.5015e-07
6800,17.48,4868.23,7.62,0.000982796,2.76114e-06,0,0,0.000782321,2.14878e-06,0.00100086,3.0153e-06,0,0,0.00179765,0.000857471,2.515e-07
6900,17.14,4964.84,7.38,0.000993039,2.70487e-06,0,0,0.000756332,2.40061e-06,0.00101297,3.09896e-06,0,0,0.0018159,0.000866864,2.8799e-07
7000,17.7,5194.65,8.01,0.00101347,2.79383e-06,0,0,0.000785072,2.59211e-06,0.00102653,3.10881e-06,0,0,0.0018444,0.000878428,2.8289e-07
7100,18.79,4872.71,7.94,0.00107107,3.2732e-06,0,0,0.000826427,3.22003e-06,0.00108674,3.58376e-06,0,0,0.00197749,0.000941109,3.5782e-07
7200,18.18,4883.87,7.67,0.00107897,3.17366e-06,0,0,0.000827296,2.83919e-06,0.00109979,3.5869e-06,0,0,0.00198683,0.00094025,3.9077e-07
7300,17.26,5394.24,7.68,0.00108681,3.09456e-06,0,0,0.000763665,2.64693e-06,0.00111615,3.36633e-06,0,0,0.00201401,0.000964785,3.552e-07
7400,19.13,5061.52,8.14,0.00110515,3.13052e-06,0,0,0.00086874,2.7748e-06,0.00113581,3.66819e-06,0,0,0.00202622,0.00095202,3.566e-07
7500,18.68,5374.35,8.2,0.00112364,3.0735e-06,0,0,0.000830434,2.74981e-06,0.00114118,3.40638e-06,0,0,0.00207956,0.000981531,3.2599e-07
7600,17.72,5547.45,7.7,0.0011174,2.8756e-06,0,0,0.000834258,2.68076e-06,0.00114462,3.31259e-06,0,0,0.0020307,0.000973492,3.0289e-07
7700,18.17,5613.47,8.2,0.00114531,2.9557e-06,0,0,0.000900351,2.47656e-06,0.0011724,3.42679e-06,0,0,0.00208364,0.000989842,3.5553e-07
7800,17.58,5664.94,7.92,0.00120276,3.10791e-06,0,0,0.000893158,2.85816e-06,0.00122358,3.49796e-06,0,0,0.00217761,0.00102044,3.8609e-07
7900,17.53,5727.43,7.62,0.00119472,3.17788e-06,0,0,0.000882176,2.644e-06,0.00124117,3.71878e-06,0,0,0.00218002,0.00103771,4.2124e-07
8000,18.16,5746.79,8.05,0.00119231,3.02781e-06,0,0,0.000915125,2.81745e-06,0.00122365,3.41182e-06,0,0,0.00221708,0.00104984,4.7987e-07
8100,18.12,5919.84,8.07,0.00117036,2.84967e-06,0,0,0.000879477,2.31623e-06,0.00119174,3.12518e-06,0,0,0.002133,0.0010237,2.5394e-07
8200,18.1,5995.85,7.82,0.00118084,2.84517e-06,0,0,0.000973161,2.51227e-06,0.00120602,3.24487e-06,0,0,0.00214782,0.00102699,2.6659e-07
8300,18.68,5886.2,8.01,0.0012062,3.1033e-06,0,0,0.000931495,2.62557e-06,0.00122318,3.30785e-06,0,0,0.00218947,0.00104593,3.2094e-07
