"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression","Average compression time","Average hld time","Average hld distance calculation time (ms)"
100,9.13,69.96,4.63,2.3934e-05,2.40549e-06,0,0,1.93824e-05,2.64434e-06,2.3827e-05,2.81753e-06,0,0,8.42663e-05,2.1606e-05,0.00043136
200,10.77,144.99,5.1,4.86882e-05,2.82124e-06,0,0,3.99343e-05,2.48817e-06,4.66469e-05,3.27205e-06,0,0,0.000159473,4.00788e-05,0.00041063
300,10.97,217.17,5.31,6.9206e-05,2.90694e-06,0,0,5.17648e-05,2.53394e-06,6.91747e-05,3.41425e-06,0,0,0.000212896,6.3974e-05,0.00043491
400,12.64,288.13,5.92,9.16073e-05,3.23753e-06,0,0,6.58453e-05,3.06591e-06,9.04298e-05,4.28045e-06,0,0,0.00021101,7.64362e-05,0.00043682
500,11.61,359.29,5.46,0.000114688,3.08391e-06,0,0,9.13082e-05,2.85731e-06,0.000116177,3.66487e-06,0,0,0.000255496,9.61364e-05,0.00048199
600,13.3,425.93,6.21,0.00013898,3.68905e-06,0,0,0.000112529,7.00003e-06,0.000138177,4.27211e-06,0,0,0.000299983,0.000116043,0.00050225
700,12.77,499.98,5.8,0.000161844,3.39169e-06,0,0,0.000113558,3.03914e-06,0.000162547,4.02922e-06,0,0,0.000343389,0.000136799,0.00050862
800,13.43,586.92,6.2,0.000184383,3.82931e-06,0,0,0.000133344,3.52713e-06,0.000185603,4.30706e-06,0,0,0.000392257,0.000154064,0.00051753
900,13.89,639.18,6.36,0.000208725,3.89205e-06,0,0,0.000150102,3.66552e-06,0.00020985,4.40356e-06,0,0,0.000455204,0.000171768,0.00047872
1000,13.61,731.98,6.21,0.000240917,3.71684e-06,0,0,0.000173492,3.55811e-06,0.000232324,4.33325e-06,0,0,0.000472086,0.000194922,0.00054289
1100,14.48,782.79,6.49,0.000256268,3.95921e-06,0,0,0.00019019,3.84326e-06,0.000255336,4.59836e-06,0,0,0.00052212,0.00021314,0.00056173
1200,14.77,839.76,6.61,0.000274983,3.91617e-06,0,0,0.000200648,3.8232e-06,0.000276675,4.58204e-06,0,0,0.000564901,0.000229806,0.000536
1300,13.43,941.51,6.21,0.000299694,3.63292e-06,0,0,0.000224961,3.32993e-06,0.000299242,4.22295e-06,0,0,0.000593236,0.00024754,0.0005132
1400,15.26,978.15,6.84,0.000350698,4.16869e-06,0,0,0.000264391,4.35896e-06,0.000350673,5.26725e-06,0,0,0.000714017,0.000281275,0.00083486
1500,14.35,1066.52,6.34,0.000376921,3.95796e-06,0,0,0.000322526,4.03159e-06,0.000376637,5.12471e-06,0,0,0.000757549,0.000301408,0.00086508
1600,14.08,1158.14,6.32,0.000409089,4.1315e-06,0,0,0.00031592,4.37564e-06,0.000447296,5.32999e-06,0,0,0.000818797,0.000331361,0.00102684
1700,14.07,1212.71,6.51,0.000429287,4.03544e-06,0,0,0.000310107,4.17351e-06,0.000429531,5.04e-06,0,0,0.000855524,0.000349435,0.00085739
1800,15.52,1258.36,6.85,0.000425866,4.38067e-06,0,0,0.000324854,3.99538e-06,0.00042384,5.04718e-06,0,0,0.000841958,0.000374172,0.00070164
1900,15.26,1293.1,6.59,0.000446866,4.28049e-06,0,0,0.000331583,4.13314e-06,0.00044494,4.87418e-06,0,0,0.000878025,0.000375972,0.00067696
2000,15.07,1448.24,6.83,0.000468901,4.21181e-06,0,0,0.000339012,4.39473e-06,0.000473701,4.91524e-06,0,0,0.000924861,0.000399298,0.00072857
2100,15.52,1536.52,6.87,0.000499718,4.42354e-06,0,0,0.000363764,6.35362e-06,0.000501323,5.10005e-06,0,0,0.00098167,0.000442881,0.00074026
