"Old nodes","Average new nodes","Average old height","Average new height"
10,6.09,6.33,3.17
20,12.48,9.38,5.21
30,18.9,11.85,6.71
40,25.35,13.62,7.74
50,31.65,15.75,9
59.9999,37.41,17.7,10.14
70,43.96,18.26,10.57
80,49.81,21.29,11.94
90.0001,56.24,21.13,12.2
100,62.9,23.44,13.51
110,70.14,24.55,14.45
120,75.68,24.5,14.51
130,82.43,27.14,15.95
140,88.08,28.16,16.75
150,95.47,27.54,16.52
160,101.35,28.98,17.5
170,107.57,29.7,17.96
180,112.45,31.17,18.59
190,119.91,33.4,19.57
200,125.59,33.56,19.93
210,132.37,34.45,20.56
220,137.91,34.46,20.5
230,144.65,35.15,21.01
240,151,36.61,22.21
250,155.91,37.73,22.46
260,164.33,38.53,22.98
270,170.58,39.74,23.92
280,176.69,39.43,24.38
290,182.94,40.47,24.18
300,188.93,40.28,24.12
310,196.11,42.35,25.65
320,201.32,41.55,25.17
330,207.68,42.6,25.91
340,213.9,43,25.99
350,221.17,43.99,26.56
360,227.98,45.9,28.07
370,232.72,45.68,26.97
380,241.77,46.82,28.74
390,247.63,45.39,27.89
400,254.23,48.4,29.97
410,260.28,46.37,28.2
420,265.1,49.9,30.19
430,271.92,49.07,29.72
440,277.76,49.46,29.61
450,283.25,48.69,29.87
460,292.44,51.56,31.34
470,296.81,51.53,31.55
480,304.62,52.83,32.17
490,309.77,53.4,31.7
500,313.97,51.7,31.58
510,322.97,52.83,32.96
520,328.79,54.81,33.13
530,336.2,54.2,33.07
540,341.05,54.02,32.81
550,346.03,55.55,33.9
560,353.38,55.79,34.3
570.001,359.12,58.45,35.99
579.999,366.67,54.85,33.2
590,370.52,57.86,35.13
600,377.23,60.37,36.06
610,384.98,58.34,35.64
620.001,389.58,60.29,36.45
629.999,396.72,58.52,35.34
640,402.51,61.07,37.62
650,410.54,60.93,38.03
660,418.39,61.84,37.47
670.001,422.69,63.77,38.85
679.999,429.52,64.65,39.08
690,435.26,62.46,38.24
700,441.14,65.64,40.15
710,448.75,62.94,38.75
720.001,453.06,66.06,40.12
729.999,459.91,64.26,39.09
740,468.65,65.96,40.66
750,474.01,64.21,39.63
760,480.01,66.59,40.48
770.001,484.96,69.05,42.53
779.999,494.45,64.88,40.08
790.001,498.69,70.17,43.03
800,507.54,69.1,42.1
809.999,512.42,64.59,39.98
820.001,520.97,68.09,41.95
829.999,523.84,69.39,42.76
840.001,530.39,68.44,41.91
850,537.37,72.73,44.05
859.999,543.22,70.1,42.78
870.001,550.76,71.53,43.74
879.999,555.14,70.92,43.32
890.001,563.65,71.46,43.54
900,566.94,73.62,44.05
909.999,577.35,71.49,44.06
920.001,582.91,71.82,44.03
929.999,588.51,73.44,45.09
940.001,592.64,76.79,47.13
950,599.23,72.67,44.86
959.999,604.45,72.89,44.76
970.001,611.69,75.9,45.98
979.999,619.06,75.78,46.36
990.001,624.04,75.7,46.45
1000,629.18,75.61,46.12
