"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression"
10,6.4,6.05,3.25,1.78833e-06,1.24076e-06,2.73174e-06,1.66544e-06,1.58226e-06,8.8867e-07,1.81407e-06,1.19345e-06,7.35472e-06,5.88877e-06
20,12.39,9.38,5.06,3.3605e-06,2.15584e-06,5.04578e-06,3.1015e-06,3.36614e-06,1.95056e-06,3.68568e-06,2.55443e-06,1.20507e-05,9.76359e-06
30,18.57,11.36,6.29,5.37214e-06,3.28235e-06,7.19057e-06,4.8894e-06,5.05435e-06,3.27934e-06,5.8336e-06,3.56976e-06,1.83769e-05,1.37706e-05
40,25.38,13.93,8.07,6.59034e-06,4.11672e-06,9.3163e-06,5.89087e-06,5.95195e-06,4.22406e-06,6.71567e-06,4.47949e-06,2.04076e-05,1.59875e-05
50,31.21,15.58,8.93,8.53113e-06,5.04398e-06,1.06273e-05,6.80599e-06,7.33199e-06,4.51994e-06,8.2063e-06,5.5677e-06,2.38576e-05,1.82114e-05
59.9999,37.98,17.19,10.07,1.08151e-05,6.41849e-06,1.37041e-05,8.1909e-06,9.37329e-06,5.8346e-06,1.07582e-05,7.1755e-06,2.93575e-05,2.18765e-05
70,43.93,18.45,10.99,1.12301e-05,7.10656e-06,1.49816e-05,9.50587e-06,1.04297e-05,7.53625e-06,1.15631e-05,7.64199e-06,3.25369e-05,2.30479e-05
80,50.66,20.21,11.83,1.61787e-05,9.99422e-06,2.11117e-05,1.39517e-05,1.46822e-05,9.57495e-06,1.64595e-05,1.11265e-05,4.60059e-05,3.33531e-05
90.0001,56.69,21.13,12.18,1.94819e-05,1.20484e-05,2.58115e-05,1.61643e-05,1.84757e-05,1.2086e-05,2.03113e-05,1.37957e-05,5.73679e-05,4.06979e-05
100,63.75,22.16,13.49,1.7892e-05,1.11053e-05,2.36897e-05,1.56369e-05,1.60499e-05,1.11149e-05,1.79966e-05,1.18702e-05,4.97679e-05,3.57033e-05
