"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression","Average compression time","Average hld time","Average hld distance calculation time"
10,6.37,6.07,3.22,2.186e-06,1.38102e-06,0,0,1.56819e-06,1.21148e-06,2.29492e-06,1.47928e-06,0,0,2.04722e-05,3.30506e-06,2.2863e-07
20,12.61,9.04,5.1,3.43003e-06,2.12176e-06,0,0,3.03095e-06,1.89435e-06,3.92209e-06,2.13433e-06,0,0,3.17935e-05,4.13765e-06,1.9397e-07
30,19.12,11.47,6.52,6.65424e-06,4.03988e-06,0,0,5.69287e-06,3.90682e-06,6.74628e-06,4.30854e-06,0,0,5.94918e-05,7.29657e-06,3.0555e-07
40,24.96,13.91,7.8,7.5761e-06,4.45306e-06,0,0,5.86233e-06,4.27851e-06,7.52995e-06,5.02485e-06,0,0,6.65412e-05,8.28775e-06,2.4848e-07
50,31.53,15.54,8.96,8.62428e-06,5.22783e-06,0,0,7.3765e-06,4.77274e-06,8.89849e-06,5.77052e-06,0,0,8.14758e-05,8.76537e-06,2.6554e-07
59.9999,37.39,18.07,10.21,9.69346e-06,6.22554e-06,0,0,8.88133e-06,5.85205e-06,1.01746e-05,6.43428e-06,0,0,9.19543e-05,9.8516e-06,2.5963e-07
70,43.51,19.17,10.96,1.13232e-05,6.86788e-06,0,0,1.04236e-05,6.42179e-06,1.21625e-05,7.51647e-06,0,0,0.000106735,1.11984e-05,2.5749e-07
80,50.15,19.88,11.57,1.30628e-05,8.07731e-06,0,0,1.17105e-05,7.82646e-06,1.39658e-05,8.63292e-06,0,0,0.000123794,1.33554e-05,2.8948e-07
90.0001,57.2,20.38,12.22,1.51953e-05,9.16982e-06,0,0,1.37174e-05,9.32281e-06,1.52277e-05,1.01284e-05,0,0,0.000141263,1.4628e-05,2.9876e-07
100,62.54,22.06,12.79,1.9031e-05,1.18306e-05,0,0,1.73874e-05,1.04322e-05,1.97381e-05,1.24653e-05,0,0,0.000186416,1.79573e-05,3.939e-07
110,68.91,23.4,13.77,2.31903e-05,1.42147e-05,0,0,2.06012e-05,1.44936e-05,2.35077e-05,1.58244e-05,0,0,0.000225304,2.13848e-05,4.4704e-07
120,74.88,25.02,14.65,2.03806e-05,1.30188e-05,0,0,1.96076e-05,1.18e-05,2.09014e-05,1.38854e-05,0,0,0.000197079,1.88547e-05,3.0194e-07
