"Node count","Average node count after compression","Average height of a tree","Average height after compression","Average DFS time","Average DFS time after compression","Average BFS time","Average BFS time after compression","Average distance calculation time","Average distance calculation time after compression","Average height calculation time","Average height calculation time after compression","Average perimeter calculation time","Average perimeter calculation time after compression","Average compression time","Average hld time","Average hld distance calculation time (ms)"
10,6.11,6.05,3.1,1.68429e-06,1.02241e-06,0,0,1.31048e-06,1.08427e-06,1.7082e-06,1.10158e-06,0,0,1.50261e-05,2.56817e-06,0.00017996
20,12.86,9.06,5.24,3.87742e-06,2.63857e-06,0,0,3.01254e-06,1.91244e-06,3.58206e-06,2.56552e-06,0,0,3.57416e-05,4.14917e-06,0.00023281
30,18.47,12.01,6.63,6.30052e-06,2.95175e-06,0,0,4.31412e-06,2.84224e-06,5.15251e-06,3.33821e-06,0,0,4.68436e-05,5.71461e-06,0.00022302
40,25.27,13.98,8.01,6.59072e-06,4.17038e-06,0,0,6.5775e-06,4.03314e-06,7.00557e-06,4.22404e-06,0,0,5.91213e-05,6.61996e-06,0.00023147
50,31.48,15.27,9.02,8.40381e-06,4.8364e-06,0,0,7.64734e-06,4.53779e-06,8.38597e-06,5.39872e-06,0,0,7.4456e-05,8.04778e-06,0.00022581
59.9999,37.45,16.81,9.7,9.51283e-06,6.06589e-06,0,0,8.81107e-06,5.99325e-06,1.02991e-05,6.34275e-06,0,0,9.46712e-05,9.69212e-06,0.0002562
70,44.02,19.31,11.06,1.17038e-05,7.73898e-06,0,0,1.0964e-05,7.34639e-06,1.23158e-05,8.16724e-06,0,0,0.000109624,1.18728e-05,0.00028851
80,50.2,20.68,11.64,1.8333e-05,1.22208e-05,0,0,1.67377e-05,1.04048e-05,1.76646e-05,1.16412e-05,0,0,0.000167832,1.66416e-05,0.00055808
90.0001,56.46,21.37,12.38,1.60304e-05,1.16669e-05,0,0,1.56187e-05,9.48067e-06,1.65106e-05,1.05709e-05,0,0,0.000151202,1.5811e-05,0.0003308
100,62.86,21.49,12.94,1.92782e-05,1.16548e-05,0,0,1.73526e-05,1.1579e-05,1.94675e-05,1.32627e-05,0,0,0.000179175,1.8616e-05,0.00041595
110,69.05,24.25,14.44,2.322e-05,1.42736e-05,0,0,2.1354e-05,1.36075e-05,2.27422e-05,1.50512e-05,0,0,0.000221464,2.12172e-05,0.00047492
120,75.92,25.34,15.06,2.07006e-05,1.297e-05,0,0,1.98328e-05,1.26565e-05,2.19263e-05,1.41809e-05,0,0,0.000202098,2.02093e-05,0.00032959
130,81.77,26.03,15.16,2.11485e-05,1.39658e-05,0,0,1.97222e-05,1.3526e-05,2.27436e-05,1.47204e-05,0,0,0.000197168,1.99998e-05,0.00029532
140,89.34,26.77,16.6,2.34737e-05,1.4324e-05,0,0,2.25912e-05,1.41169e-05,2.34418e-05,1.52542e-05,0,0,0.000220788,2.32287e-05,0.00031692
150,94.38,27.79,16.4,2.61432e-05,1.59993e-05,0,0,2.42628e-05,1.60204e-05,2.73389e-05,1.76232e-05,0,0,0.000246526,2.40788e-05,0.0003323
160,101.4,29.36,17.45,2.57647e-05,1.6568e-05,0,0,2.38928e-05,1.50107e-05,2.77051e-05,1.85321e-05,0,0,0.000248168,2.51585e-05,0.00032162
170,107.37,30.96,18.19,2.78037e-05,1.77722e-05,0,0,2.60926e-05,1.8357e-05,3.00198e-05,1.90818e-05,0,0,0.000257467,2.6727e-05,0.00033628
180,113.68,31.71,19.16,3.03884e-05,1.79001e-05,0,0,2.91034e-05,1.87791e-05,3.11791e-05,2.04117e-05,0,0,0.00027769,2.79235e-05,0.00033225
190,120.43,31.39,19.12,3.31295e-05,1.98845e-05,0,0,2.93275e-05,2.07052e-05,3.2907e-05,2.18469e-05,0,0,0.000305628,3.12575e-05,0.00038986
200,124.73,32.71,19.88,3.51085e-05,2.14851e-05,0,0,3.36935e-05,2.1283e-05,3.55941e-05,2.21933e-05,0,0,0.000314863,3.12247e-05,0.00045719
210,132.7,33.6,20,3.34557e-05,2.14309e-05,0,0,3.14219e-05,2.1398e-05,3.43806e-05,2.30483e-05,0,0,0.00031704,3.1632e-05,0.00032932
220,139.99,34.8,21.04,3.79463e-05,2.32901e-05,0,0,3.5058e-05,2.25878e-05,3.87856e-05,2.41539e-05,0,0,0.000345934,3.46786e-05,0.00035885
230,145.62,35.53,21.05,3.75212e-05,2.33333e-05,0,0,3.56575e-05,2.33802e-05,3.96066e-05,2.4861e-05,0,0,0.000350994,3.52788e-05,0.00034255
240,152.19,35.77,21.73,3.8482e-05,2.46386e-05,0,0,3.83472e-05,2.42713e-05,4.16146e-05,2.60544e-05,0,0,0.00036894,3.7028e-05,0.00035534
250,159.43,35.66,21.82,4.00951e-05,2.60513e-05,0,0,3.92733e-05,2.59003e-05,4.36143e-05,2.81054e-05,0,0,0.000379526,3.79833e-05,0.00045389
260,163.44,37.85,22.38,4.89051e-05,3.00362e-05,0,0,4.5977e-05,3.12862e-05,5.03999e-05,3.28562e-05,0,0,0.000459276,5.43748e-05,0.00049066
270,170.12,39.82,23.86,4.34849e-05,2.70052e-05,0,0,4.09582e-05,2.71372e-05,4.63195e-05,3.0409e-05,0,0,0.000417646,5.07313e-05,0.00041903
280,177.46,37.98,22.81,4.88413e-05,3.01082e-05,0,0,4.46064e-05,3.0603e-05,5.00431e-05,3.32576e-05,0,0,0.00043942,5.32406e-05,0.00039238
290,183.03,40.04,24.06,4.75756e-05,3.00561e-05,0,0,4.63367e-05,2.89584e-05,4.92663e-05,3.22307e-05,0,0,0.000434541,5.40575e-05,0.00036662
